userID,trajID,poiID,startTime,endTime,#photo,trajLen,poiDuration
90642923@N00,7435,26,6,6,1,6,1
90642923@N00,7435,20,6,6,2,6,1
90642923@N00,7435,7,6,6,3,6,1
90642923@N00,7435,6,6,6,4,6,1
90642923@N00,7435,1,6,6,5,6,1
90642923@N00,7435,17,6,6,6,6,1
10259875@N03,141,26,6,6,7,6,1
10259875@N03,141,19,6,6,8,6,1
10259875@N03,141,27,6,6,9,6,1
10259875@N03,141,1,6,6,10,6,1
10259875@N03,141,16,6,6,11,6,1
10259875@N03,141,17,6,6,12,6,1
38789043@N02,3526,26,6,6,13,8,1
38789043@N02,3526,3,6,6,14,8,1
38789043@N02,3526,6,6,6,15,8,1
38789043@N02,3526,20,6,6,16,8,1
38789043@N02,3526,18,6,6,17,8,1
38789043@N02,3526,19,6,6,18,8,1
38789043@N02,3526,21,6,6,19,8,1
38789043@N02,3526,17,6,6,20,8,1
64478148@N07,5774,26,6,6,21,3,1
64478148@N07,5774,27,6,6,22,3,1
64478148@N07,5774,17,6,6,23,3,1
38102706@N05,3445,5,6,6,24,6,1
38102706@N05,3445,17,6,6,25,6,1
38102706@N05,3445,26,6,6,26,6,1
38102706@N05,3445,18,6,6,27,6,1
38102706@N05,3445,2,6,6,28,6,1
38102706@N05,3445,27,6,6,29,6,1
38102706@N05,3419,5,6,6,30,14,1
38102706@N05,3419,2,6,6,31,14,1
38102706@N05,3419,1,6,6,32,14,1
38102706@N05,3419,6,6,6,33,14,1
38102706@N05,3419,9,6,6,34,14,1
38102706@N05,3419,14,6,6,35,14,1
38102706@N05,3419,17,6,6,36,14,1
38102706@N05,3419,18,6,6,37,14,1
38102706@N05,3419,23,6,6,38,14,1
38102706@N05,3419,21,6,6,39,14,1
38102706@N05,3419,26,6,6,40,14,1
38102706@N05,3419,7,6,6,41,14,1
38102706@N05,3419,8,6,6,42,14,1
38102706@N05,3419,27,6,6,43,14,1
39156069@N03,3563,15,6,6,44,5,1
39156069@N03,3563,9,6,6,45,5,1
39156069@N03,3563,6,6,6,46,5,1
39156069@N03,3563,7,6,6,47,5,1
39156069@N03,3563,8,6,6,48,5,1
47189760@N05,4509,1,6,6,49,5,1
47189760@N05,4509,27,6,6,50,5,1
47189760@N05,4509,10,6,6,51,5,1
47189760@N05,4509,9,6,6,52,5,1
47189760@N05,4509,8,6,6,53,5,1
8803306@N02,7264,1,6,6,54,9,1
8803306@N02,7264,27,6,6,55,9,1
8803306@N02,7264,23,6,6,56,9,1
8803306@N02,7264,19,6,6,57,9,1
8803306@N02,7264,26,6,6,58,9,1
8803306@N02,7264,15,6,6,59,9,1
8803306@N02,7264,14,6,6,60,9,1
8803306@N02,7264,16,6,6,61,9,1
8803306@N02,7264,8,6,6,62,9,1
130127205@N04,654,1,6,6,63,5,1
130127205@N04,654,22,6,6,64,5,1
130127205@N04,654,20,6,6,65,5,1
130127205@N04,654,27,6,6,66,5,1
130127205@N04,654,8,6,6,67,5,1
44124427374@N01,4153,6,6,6,68,3,1
44124427374@N01,4153,18,6,6,69,3,1
44124427374@N01,4153,2,6,6,70,3,1
78732663@N03,6657,6,6,6,71,9,1
78732663@N03,6657,9,6,6,72,9,1
78732663@N03,6657,11,6,6,73,9,1
78732663@N03,6657,1,6,6,74,9,1
78732663@N03,6657,4,6,6,75,9,1
78732663@N03,6657,20,6,6,76,9,1
78732663@N03,6657,27,6,6,77,9,1
78732663@N03,6657,24,6,6,78,9,1
78732663@N03,6657,2,6,6,79,9,1
127278883@N08,578,6,6,6,80,5,1
127278883@N08,578,9,6,6,81,5,1
127278883@N08,578,27,6,6,82,5,1
127278883@N08,578,4,6,6,83,5,1
127278883@N08,578,2,6,6,84,5,1
35853462@N00,3171,3,6,6,85,5,1
35853462@N00,3171,19,6,6,86,5,1
35853462@N00,3171,2,6,6,87,5,1
35853462@N00,3171,1,6,6,88,5,1
35853462@N00,3171,13,6,6,89,5,1
38102706@N05,3479,3,6,6,90,3,1
38102706@N05,3479,2,6,6,91,3,1
38102706@N05,3479,13,6,6,92,3,1
7472274@N05,6313,3,6,6,93,5,1
7472274@N05,6313,2,6,6,94,5,1
7472274@N05,6313,6,6,6,95,5,1
7472274@N05,6313,11,6,6,96,5,1
7472274@N05,6313,20,6,6,97,5,1
23322134@N02,1595,3,6,6,98,6,1
23322134@N02,1595,1,6,6,99,6,1
23322134@N02,1595,9,6,6,100,6,1
23322134@N02,1595,13,6,6,101,6,1
23322134@N02,1595,21,6,6,102,6,1
23322134@N02,1595,20,6,6,103,6,1
54250081@N05,5088,25,6,6,104,12,1
54250081@N05,5088,21,6,6,105,12,1
54250081@N05,5088,23,6,6,106,12,1
54250081@N05,5088,24,6,6,107,12,1
54250081@N05,5088,20,6,6,108,12,1
54250081@N05,5088,18,6,6,109,12,1
54250081@N05,5088,19,6,6,110,12,1
54250081@N05,5088,16,6,6,111,12,1
54250081@N05,5088,17,6,6,112,12,1
54250081@N05,5088,14,6,6,113,12,1
54250081@N05,5088,9,6,6,114,12,1
54250081@N05,5088,10,6,6,115,12,1
89388234@N00,7332,25,6,6,116,3,1
89388234@N00,7332,6,6,6,117,3,1
89388234@N00,7332,10,6,6,118,3,1
7451382@N03,6308,21,6,6,119,3,1
7451382@N03,6308,7,6,6,120,3,1
7451382@N03,6308,8,6,6,121,3,1
28977782@N00,2453,21,6,6,122,5,1
28977782@N00,2453,25,6,6,123,5,1
28977782@N00,2453,24,6,6,124,5,1
28977782@N00,2453,13,6,6,125,5,1
28977782@N00,2453,8,6,6,126,5,1
47125846@N08,4456,17,6,6,127,5,1
47125846@N08,4456,20,6,6,128,5,1
47125846@N08,4456,21,6,6,129,5,1
47125846@N08,4456,19,6,6,130,5,1
47125846@N08,4456,15,6,6,131,5,1
64440833@N05,5726,17,6,6,132,6,1
64440833@N05,5726,13,6,6,133,6,1
64440833@N05,5726,18,6,6,134,6,1
64440833@N05,5726,22,6,6,135,6,1
64440833@N05,5726,20,6,6,136,6,1
64440833@N05,5726,15,6,6,137,6,1
23322134@N02,1592,17,6,6,138,5,1
23322134@N02,1592,18,6,6,139,5,1
23322134@N02,1592,26,6,6,140,5,1
23322134@N02,1592,1,6,6,141,5,1
23322134@N02,1592,15,6,6,142,5,1
33494202@N04,2918,2,6,6,143,3,1
33494202@N04,2918,3,6,6,144,3,1
33494202@N04,2918,12,6,6,145,3,1
24897645@N04,1855,22,6,6,146,4,1
24897645@N04,1855,16,6,6,147,4,1
24897645@N04,1855,14,6,6,148,4,1
24897645@N04,1855,21,6,6,149,4,1
54845704@N05,5117,22,6,6,150,7,1
54845704@N05,5117,23,6,6,151,7,1
54845704@N05,5117,20,6,6,152,7,1
54845704@N05,5117,26,6,6,153,7,1
54845704@N05,5117,17,6,6,154,7,1
54845704@N05,5117,27,6,6,155,7,1
54845704@N05,5117,21,6,6,156,7,1
85855667@N00,7124,22,6,6,157,5,1
85855667@N00,7124,17,6,6,158,5,1
85855667@N00,7124,13,6,6,159,5,1
85855667@N00,7124,26,6,6,160,5,1
85855667@N00,7124,21,6,6,161,5,1
11752574@N06,410,22,6,6,162,7,1
11752574@N06,410,19,6,6,163,7,1
11752574@N06,410,1,6,6,164,7,1
11752574@N06,410,14,6,6,165,7,1
11752574@N06,410,9,6,6,166,7,1
11752574@N06,410,15,6,6,167,7,1
11752574@N06,410,21,6,6,168,7,1
90728477@N00,7443,1,6,6,169,12,1
90728477@N00,7443,9,6,6,170,12,1
90728477@N00,7443,17,6,6,171,12,1
90728477@N00,7443,18,6,6,172,12,1
90728477@N00,7443,23,6,6,173,12,1
90728477@N00,7443,4,6,6,174,12,1
90728477@N00,7443,27,6,6,175,12,1
90728477@N00,7443,10,6,6,176,12,1
90728477@N00,7443,7,6,6,177,12,1
90728477@N00,7443,8,6,6,178,12,1
90728477@N00,7443,14,6,6,179,12,1
90728477@N00,7443,21,6,6,180,12,1
46453719@N00,4408,1,6,6,181,6,1
46453719@N00,4408,20,6,6,182,6,1
46453719@N00,4408,2,6,6,183,6,1
46453719@N00,4408,11,6,6,184,6,1
46453719@N00,4408,15,6,6,185,6,1
46453719@N00,4408,21,6,6,186,6,1
27429042@N08,2225,1,6,6,187,3,1
27429042@N08,2225,27,6,6,188,3,1
27429042@N08,2225,21,6,6,189,3,1
14898307@N00,932,1,6,6,190,3,1
14898307@N00,932,2,6,6,191,3,1
14898307@N00,932,21,6,6,192,3,1
67774977@N00,5971,1,6,6,193,8,1
67774977@N00,5971,9,6,6,194,8,1
67774977@N00,5971,16,6,6,195,8,1
67774977@N00,5971,12,6,6,196,8,1
67774977@N00,5971,4,6,6,197,8,1
67774977@N00,5971,17,6,6,198,8,1
67774977@N00,5971,22,6,6,199,8,1
67774977@N00,5971,21,6,6,200,8,1
76151808@N00,6396,13,6,6,201,4,1
76151808@N00,6396,17,6,6,202,4,1
76151808@N00,6396,21,6,6,203,4,1
76151808@N00,6396,24,6,6,204,4,1
114434902@N04,373,14,6,6,205,9,1
114434902@N04,373,11,6,6,206,9,1
114434902@N04,373,4,6,6,207,9,1
114434902@N04,373,2,6,6,208,9,1
114434902@N04,373,27,6,6,209,9,1
114434902@N04,373,25,6,6,210,9,1
114434902@N04,373,21,6,6,211,9,1
114434902@N04,373,24,6,6,212,9,1
114434902@N04,373,26,6,6,213,9,1
26284290@N05,2005,14,6,6,214,3,1
26284290@N05,2005,22,6,6,215,3,1
26284290@N05,2005,26,6,6,216,3,1
71778096@N00,6113,14,6,6,217,3,1
71778096@N00,6113,20,6,6,218,3,1
71778096@N00,6113,26,6,6,219,3,1
47087576@N00,4447,14,6,6,220,3,1
47087576@N00,4447,4,6,6,221,3,1
47087576@N00,4447,26,6,6,222,3,1
23693999@N05,1665,5,6,6,223,6,1
23693999@N05,1665,9,6,6,224,6,1
23693999@N05,1665,20,6,6,225,6,1
23693999@N05,1665,19,6,6,226,6,1
23693999@N05,1665,16,6,6,227,6,1
23693999@N05,1665,4,6,6,228,6,1
23720661@N08,1693,5,6,6,229,13,1
23720661@N08,1693,27,6,6,230,13,1
23720661@N08,1693,22,6,6,231,13,1
23720661@N08,1693,13,6,6,232,13,1
23720661@N08,1693,18,6,6,233,13,1
23720661@N08,1693,26,6,6,234,13,1
23720661@N08,1693,17,6,6,235,13,1
23720661@N08,1693,16,6,6,236,13,1
23720661@N08,1693,2,6,6,237,13,1
23720661@N08,1693,6,6,6,238,13,1
