userID,trajID,poiID,startTime,endTime,#photo,trajLen,poiDuration
29259314@N04,2080,17,6,6,1,4,1
29259314@N04,2080,18,6,6,2,4,1
29259314@N04,2080,12,6,6,3,4,1
29259314@N04,2080,5,6,6,4,4,1
36942952@N00,2706,17,6,6,5,6,1
36942952@N00,2706,23,6,6,6,6,1
36942952@N00,2706,16,6,6,7,6,1
36942952@N00,2706,11,6,6,8,6,1
36942952@N00,2706,7,6,6,9,6,1
36942952@N00,2706,5,6,6,10,6,1
10182842@N08,57,17,6,6,11,4,1
10182842@N08,57,7,6,6,12,4,1
10182842@N08,57,16,6,6,13,4,1
10182842@N08,57,5,6,6,14,4,1
80292103@N00,5728,19,6,6,15,5,1
80292103@N00,5728,1,6,6,16,5,1
80292103@N00,5728,17,6,6,17,5,1
80292103@N00,5728,16,6,6,18,5,1
80292103@N00,5728,6,6,6,19,5,1
101075959@N06,33,19,6,6,20,10,1
101075959@N06,33,7,6,6,21,10,1
101075959@N06,33,16,6,6,22,10,1
101075959@N06,33,23,6,6,23,10,1
101075959@N06,33,12,6,6,24,10,1
101075959@N06,33,24,6,6,25,10,1
101075959@N06,33,25,6,6,26,10,1
101075959@N06,33,4,6,6,27,10,1
101075959@N06,33,14,6,6,28,10,1
101075959@N06,33,6,6,6,29,10,1
129068573@N04,606,19,6,6,30,6,1
129068573@N04,606,16,6,6,31,6,1
129068573@N04,606,11,6,6,32,6,1
129068573@N04,606,7,6,6,33,6,1
129068573@N04,606,18,6,6,34,6,1
129068573@N04,606,6,6,6,35,6,1
15409581@N00,888,19,6,6,36,3,1
15409581@N00,888,7,6,6,37,3,1
15409581@N00,888,6,6,6,38,3,1
33308929@N04,2424,19,6,6,39,3,1
33308929@N04,2424,14,6,6,40,3,1
33308929@N04,2424,6,6,6,41,3,1
52447507@N06,4070,19,6,6,42,3,1
52447507@N06,4070,14,6,6,43,3,1
52447507@N06,4070,6,6,6,44,3,1
51035708949@N01,3990,19,6,6,45,8,1
51035708949@N01,3990,14,6,6,46,8,1
51035708949@N01,3990,16,6,6,47,8,1
51035708949@N01,3990,9,6,6,48,8,1
51035708949@N01,3990,8,6,6,49,8,1
51035708949@N01,3990,23,6,6,50,8,1
51035708949@N01,3990,10,6,6,51,8,1
51035708949@N01,3990,6,6,6,52,8,1
8347765@N06,5947,19,6,6,53,9,1
8347765@N06,5947,14,6,6,54,9,1
8347765@N06,5947,8,6,6,55,9,1
8347765@N06,5947,11,6,6,56,9,1
8347765@N06,5947,7,6,6,57,9,1
8347765@N06,5947,10,6,6,58,9,1
8347765@N06,5947,23,6,6,59,9,1
8347765@N06,5947,12,6,6,60,9,1
8347765@N06,5947,6,6,6,61,9,1
35727989@N00,2600,19,6,6,62,3,1
35727989@N00,2600,16,6,6,63,3,1
35727989@N00,2600,6,6,6,64,3,1
79172203@N00,5640,19,6,6,65,6,1
79172203@N00,5640,24,6,6,66,6,1
79172203@N00,5640,25,6,6,67,6,1
79172203@N00,5640,16,6,6,68,6,1
79172203@N00,5640,17,6,6,69,6,1
79172203@N00,5640,6,6,6,70,6,1
96430093@N05,6635,19,6,6,71,4,1
96430093@N05,6635,12,6,6,72,4,1
