userID,trajID,poiID,startTime,endTime,#photo,trajLen,poiDuration
69161765@N08,4329,16,6,6,1,3,1
69161765@N08,4329,9,6,6,2,3,1
69161765@N08,4329,13,6,6,3,3,1
85644119@N00,5058,16,6,6,4,9,1
85644119@N00,5058,4,6,6,5,9,1
85644119@N00,5058,5,6,6,6,9,1
85644119@N00,5058,10,6,6,7,9,1
85644119@N00,5058,11,6,6,8,9,1
85644119@N00,5058,2,6,6,9,9,1
85644119@N00,5058,7,6,6,10,9,1
85644119@N00,5058,15,6,6,11,9,1
85644119@N00,5058,13,6,6,12,9,1
54364530@N08,3686,16,6,6,13,7,1
54364530@N08,3686,2,6,6,14,7,1
54364530@N08,3686,11,6,6,15,7,1
54364530@N08,3686,9,6,6,16,7,1
54364530@N08,3686,5,6,6,17,7,1
54364530@N08,3686,8,6,6,18,7,1
54364530@N08,3686,13,6,6,19,7,1
71778096@N00,4411,16,6,6,20,7,1
71778096@N00,4411,5,6,6,21,7,1
71778096@N00,4411,1,6,6,22,7,1
71778096@N00,4411,9,6,6,23,7,1
71778096@N00,4411,10,6,6,24,7,1
71778096@N00,4411,17,6,6,25,7,1
71778096@N00,4411,13,6,6,26,7,1
42151752@N05,2702,11,6,6,27,5,1
42151752@N05,2702,1,6,6,28,5,1
42151752@N05,2702,8,6,6,29,5,1
42151752@N05,2702,2,6,6,30,5,1
42151752@N05,2702,17,6,6,31,5,1
15265115@N06,642,11,6,6,32,3,1
15265115@N06,642,10,6,6,33,3,1
15265115@N06,642,17,6,6,34,3,1
11724486@N02,285,11,6,6,35,3,1
11724486@N02,285,1,6,6,36,3,1
11724486@N02,285,17,6,6,37,3,1
86694404@N00,5137,11,6,6,38,3,1
86694404@N00,5137,1,6,6,39,3,1
86694404@N00,5137,17,6,6,40,3,1
61905010@N03,3990,11,6,6,41,3,1
61905010@N03,3990,8,6,6,42,3,1
61905010@N03,3990,17,6,6,43,3,1
91621746@N00,5360,11,6,6,44,3,1
91621746@N00,5360,13,6,6,45,3,1
91621746@N00,5360,17,6,6,46,3,1
25027171@N08,1270,11,6,6,47,4,1
25027171@N08,1270,3,6,6,48,4,1
25027171@N08,1270,13,6,6,49,4,1
25027171@N08,1270,17,6,6,50,4,1
36702908@N05,2265,11,6,6,51,6,1
36702908@N05,2265,2,6,6,52,6,1
36702908@N05,2265,3,6,6,53,6,1
36702908@N05,2265,4,6,6,54,6,1
36702908@N05,2265,10,6,6,55,6,1
36702908@N05,2265,17,6,6,56,6,1
39146060@N00,2498,11,6,6,57,5,1
39146060@N00,2498,4,6,6,58,5,1
39146060@N00,2498,10,6,6,59,5,1
39146060@N00,2498,13,6,6,60,5,1
39146060@N00,2498,17,6,6,61,5,1
42912463@N02,2756,11,6,6,62,5,1
42912463@N02,2756,7,6,6,63,5,1
42912463@N02,2756,8,6,6,64,5,1
42912463@N02,2756,16,6,6,65,5,1
42912463@N02,2756,17,6,6,66,5,1
64779594@N00,4176,11,6,6,67,4,1
64779594@N00,4176,13,6,6,68,4,1
64779594@N00,4176,15,6,6,69,4,1
64779594@N00,4176,17,6,6,70,4,1
79172203@N00,4758,11,6,6,71,3,1
79172203@N00,4758,5,6,6,72,3,1
79172203@N00,4758,17,6,6,73,3,1
79761301@N00,4794,11,6,6,74,5,1
79761301@N00,4794,4,6,6,75,5,1
79761301@N00,4794,7,6,6,76,5,1
79761301@N00,4794,8,6,6,77,5,1
79761301@N00,4794,17,6,6,78,5,1
98109106@N00,5741,11,6,6,79,7,1
98109106@N00,5741,7,6,6,80,7,1
98109106@N00,5741,14,6,6,81,7,1
98109106@N00,5741,2,6,6,82,7,1
98109106@N00,5741,8,6,6,83,7,1
98109106@N00,5741,4,6,6,84,7,1
98109106@N00,5741,17,6,6,85,7,1
41808955@N00,2659,11,6,6,86,3,1
41808955@N00,2659,4,6,6,87,3,1
41808955@N00,2659,17,6,6,88,3,1
20727999@N06,791,8,6,6,89,5,1
20727999@N06,791,5,6,6,90,5,1
20727999@N06,791,11,6,6,91,5,1
20727999@N06,791,1,6,6,92,5,1
20727999@N06,791,9,6,6,93,5,1
35034363370@N01,2115,8,6,6,94,15,1
35034363370@N01,2115,5,6,6,95,15,1
35034363370@N01,2115,11,6,6,96,15,1
35034363370@N01,2115,1,6,6,97,15,1
35034363370@N01,2115,2,6,6,98,15,1
35034363370@N01,2115,12,6,6,99,15,1
35034363370@N01,2115,7,6,6,100,15,1
35034363370@N01,2115,14,6,6,101,15,1
35034363370@N01,2115,3,6,6,102,15,1
35034363370@N01,2115,17,6,6,103,15,1
35034363370@N01,2115,13,6,6,104,15,1
35034363370@N01,2115,15,6,6,105,15,1
35034363370@N01,2115,4,6,6,106,15,1
35034363370@N01,2115,16,6,6,107,15,1
35034363370@N01,2115,9,6,6,108,15,1
9790304@N07,5735,8,6,6,109,6,1
9790304@N07,5735,5,6,6,110,6,1
9790304@N07,5735,11,6,6,111,6,1
9790304@N07,5735,12,6,6,112,6,1
9790304@N07,5735,1,6,6,113,6,1
9790304@N07,5735,9,6,6,114,6,1
91372718@N04,5346,8,6,6,115,8,1
91372718@N04,5346,15,6,6,116,8,1
91372718@N04,5346,17,6,6,117,8,1
91372718@N04,5346,10,6,6,118,8,1
91372718@N04,5346,11,6,6,119,8,1
91372718@N04,5346,16,6,6,120,8,1
91372718@N04,5346,4,6,6,121,8,1
91372718@N04,5346,9,6,6,122,8,1
35404547@N02,2156,8,6,6,123,3,1
35404547@N02,2156,11,6,6,124,3,1
35404547@N02,2156,9,6,6,125,3,1
53848863@N02,3681,8,6,6,126,3,1
53848863@N02,3681,11,6,6,127,3,1
53848863@N02,3681,9,6,6,128,3,1
75338025@N07,4571,6,6,6,129,6,1
75338025@N07,4571,8,6,6,130,6,1
75338025@N07,4571,5,6,6,131,6,1
75338025@N07,4571,2,6,6,132,6,1
75338025@N07,4571,1,6,6,133,6,1
75338025@N07,4571,11,6,6,134,6,1
33700145@N05,2004,6,6,6,135,5,1
33700145@N05,2004,13,6,6,136,5,1
33700145@N05,2004,17,6,6,137,5,1
33700145@N05,2004,15,6,6,138,5,1
33700145@N05,2004,11,6,6,139,5,1
12197785@N03,343,6,6,6,140,4,1
12197785@N03,343,7,6,6,141,4,1
12197785@N03,343,2,6,6,142,4,1
12197785@N03,343,11,6,6,143,4,1
43636216@N00,2849,6,6,6,144,3,1
43636216@N00,2849,14,6,6,145,3,1
43636216@N00,2849,11,6,6,146,3,1
46050386@N03,3077,14,6,6,147,4,1
46050386@N03,3077,2,6,6,148,4,1
46050386@N03,3077,12,6,6,149,4,1
46050386@N03,3077,9,6,6,150,4,1
23833168@N04,1165,17,6,6,151,3,1
23833168@N04,1165,15,6,6,152,3,1
23833168@N04,1165,7,6,6,153,3,1
51159953@N00,3499,17,6,6,154,5,1
51159953@N00,3499,11,6,6,155,5,1
51159953@N00,3499,1,6,6,156,5,1
51159953@N00,3499,2,6,6,157,5,1
51159953@N00,3499,7,6,6,158,5,1
85864407@N08,5086,7,6,6,159,3,1
85864407@N08,5086,4,6,6,160,3,1
85864407@N08,5086,8,6,6,161,3,1
43082306@N00,2774,17,6,6,162,3,1
43082306@N00,2774,11,6,6,163,3,1
43082306@N00,2774,16,6,6,164,3,1
36911028@N00,2277,2,6,6,165,3,1
36911028@N00,2277,5,6,6,166,3,1
36911028@N00,2277,10,6,6,167,3,1
40303166@N06,2541,2,6,6,168,10,1
40303166@N06,2541,4,6,6,169,10,1
40303166@N06,2541,16,6,6,170,10,1
40303166@N06,2541,1,6,6,171,10,1
40303166@N06,2541,5,6,6,172,10,1
40303166@N06,2541,8,6,6,173,10,1
40303166@N06,2541,13,6,6,174,10,1
40303166@N06,2541,15,6,6,175,10,1
40303166@N06,2541,17,6,6,176,10,1
40303166@N06,2541,10,6,6,177,10,1
56223610@N07,3767,2,6,6,178,4,1
56223610@N07,3767,12,6,6,179,4,1
56223610@N07,3767,13,6,6,180,4,1
56223610@N07,3767,10,6,6,181,4,1
10259875@N03,77,2,6,6,182,3,1
10259875@N03,77,11,6,6,183,3,1
10259875@N03,77,10,6,6,184,3,1
20727999@N06,790,5,6,6,185,6,1
20727999@N06,790,8,6,6,186,6,1
20727999@N06,790,17,6,6,187,6,1
20727999@N06,790,10,6,6,188,6,1
20727999@N06,790,1,6,6,189,6,1
20727999@N06,790,2,6,6,190,6,1
19555551@N00,743,5,6,6,191,3,1
19555551@N00,743,11,6,6,192,3,1
19555551@N00,743,2,6,6,193,3,1
8459320@N03,5013,5,6,6,194,3,1
8459320@N03,5013,11,6,6,195,3,1
8459320@N03,5013,2,6,6,196,3,1
99471343@N00,5801,5,6,6,197,5,1
99471343@N00,5801,13,6,6,198,5,1
99471343@N00,5801,17,6,6,199,5,1
99471343@N00,5801,14,6,6,200,5,1
99471343@N00,5801,2,6,6,201,5,1
26678134@N04,1407,5,6,6,202,3,1
26678134@N04,1407,3,6,6,203,3,1
26678134@N04,1407,2,6,6,204,3,1
33934966@N00,2047,5,6,6,205,6,1
33934966@N00,2047,8,6,6,206,6,1
33934966@N00,2047,11,6,6,207,6,1
33934966@N00,2047,1,6,6,208,6,1
33934966@N00,2047,4,6,6,209,6,1
33934966@N00,2047,2,6,6,210,6,1
29648523@N05,1712,5,6,6,211,5,1
29648523@N05,1712,8,6,6,212,5,1
29648523@N05,1712,10,6,6,213,5,1
29648523@N05,1712,17,6,6,214,5,1
29648523@N05,1712,2,6,6,215,5,1
30891516@N08,1786,5,6,6,216,5,1
30891516@N08,1786,8,6,6,217,5,1
30891516@N08,1786,13,6,6,218,5,1
30891516@N08,1786,17,6,6,219,5,1
30891516@N08,1786,2,6,6,220,5,1
25027171@N08,1272,17,6,6,221,6,1
25027171@N08,1272,10,6,6,222,6,1
25027171@N08,1272,11,6,6,223,6,1
25027171@N08,1272,2,6,6,224,6,1
25027171@N08,1272,14,6,6,225,6,1
25027171@N08,1272,3,6,6,226,6,1
9611843@N04,5559,17,6,6,227,4,1
9611843@N04,5559,11,6,6,228,4,1
9611843@N04,5559,8,6,6,229,4,1
9611843@N04,5559,3,6,6,230,4,1
95911107@N02,5539,17,6,6,231,5,1
95911107@N02,5539,10,6,6,232,5,1
95911107@N02,5539,11,6,6,233,5,1
95911107@N02,5539,2,6,6,234,5,1
95911107@N02,5539,3,6,6,235,5,1
28530387@N06,1622,2,6,6,236,3,1
28530387@N06,1622,5,6,6,237,3,1
28530387@N06,1622,3,6,6,238,3,1
44452722@N03,2943,2,6,6,239,5,1
44452722@N03,2943,9,6,6,240,5,1
44452722@N03,2943,8,6,6,241,5,1
44452722@N03,2943,5,6,6,242,5,1
44452722@N03,2943,3,6,6,243,5,1
73114641@N00,4476,2,6,6,244,4,1
73114641@N00,4476,15,6,6,245,4,1
73114641@N00,4476,13,6,6,246,4,1
73114641@N00,4476,3,6,6,247,4,1
29225947@N00,1690,11,6,6,248,7,1
29225947@N00,1690,7,6,6,249,7,1
29225947@N00,1690,2,6,6,250,7,1
29225947@N00,1690,10,6,6,251,7,1
29225947@N00,1690,13,6,6,252,7,1
29225947@N00,1690,17,6,6,253,7,1
29225947@N00,1690,5,6,6,254,7,1
22207764@N06,908,11,6,6,255,6,1
22207764@N06,908,3,6,6,256,6,1
22207764@N06,908,9,6,6,257,6,1
22207764@N06,908,16,6,6,258,6,1
22207764@N06,908,4,6,6,259,6,1
22207764@N06,908,5,6,6,260,6,1
37159320@N00,2308,11,6,6,261,4,1
37159320@N00,2308,2,6,6,262,4,1
37159320@N00,2308,4,6,6,263,4,1
37159320@N00,2308,5,6,6,264,4,1
105156445@N06,113,11,6,6,265,7,1
105156445@N06,113,2,6,6,266,7,1
105156445@N06,113,10,6,6,267,7,1
105156445@N06,113,17,6,6,268,7,1
105156445@N06,113,15,6,6,269,7,1
105156445@N06,113,13,6,6,270,7,1
105156445@N06,113,5,6,6,271,7,1
11438118@N00,256,11,6,6,272,5,1
11438118@N00,256,15,6,6,273,5,1
11438118@N00,256,13,6,6,274,5,1
11438118@N00,256,8,6,6,275,5,1
11438118@N00,256,5,6,6,276,5,1
12238277@N04,347,11,6,6,277,3,1
12238277@N04,347,3,6,6,278,3,1
12238277@N04,347,5,6,6,279,3,1
23172783@N07,1045,11,6,6,280,3,1
23172783@N07,1045,3,6,6,281,3,1
23172783@N07,1045,5,6,6,282,3,1
122876725@N05,353,11,6,6,283,7,1
122876725@N05,353,1,6,6,284,7,1
122876725@N05,353,9,6,6,285,7,1
