17,9,1,29,3,13,16,15,8
17,29,2,24,4,11,23,19,8
17,9,28,19,23,11,10,2,8
-1
8,29,1,16,19,23,4,2,9
8,23,19,28,17,3,29,1,9
8,10,18,15,16,29,17,3,9
-1
8,19,28,17,29,9,1,12,4
8,1,29,9,19,23,10,11,4
8,19,23,11,10,2,9,29,4
-1
8,16,3,1,29,9,2,4,17
8,19,9,29,1,16,3,28,17
8,15,18,22,14,16,3,9,17
-1
17,4,7,3,29,1,12,18,9
17,29,4,23,19,8,15,1,9
17,18,15,19,28,3,29,1,9
-1
4,11,10,2,9,1,29,17,24
4,2,11,23,10,16,12,9,24
4,23,19,3,17,29,9,7,24
-1
23,10,11,4,2,24,9,1,3
23,10,19,8,15,1,9,29,3
23,11,8,1,29,9,17,4,3
-1
23,18,22,15,19,11,10,2,4
23,19,28,17,29,9,1,8,4
23,19,11,2,24,3,9,1,4
-1
15,19,23,4,7,3,29,1,9
15,8,19,29,17,3,13,12,9
15,17,29,1,16,8,18,12,9
-1
10,11,4,2,9,29,1,8,28
10,18,15,29,3,9,17,19,28
10,3,1,29,9,4,23,11,28
-1
16,3,1,29,2,4,11,19,8
16,15,18,12,9,1,29,3,8
16,17,9,1,29,3,13,7,8
-1
18,15,8,16,28,9,4,2,19
18,15,28,17,9,29,1,16,19
18,29,1,8,16,3,17,28,19
-1
4,10,23,19,28,17,9,29,1
4,2,24,10,11,19,8,15,1
4,8,18,15,9,29,17,3,1
-1
28,17,29,9,1,12,18,15,16
28,19,8,15,18,12,9,1,16
28,17,9,29,3,13,7,4,16
-1
29,1,17,9,3,28,19,15,16
29,8,15,1,9,17,4,2,16
29,9,3,19,15,18,22,12,16
-1
17,9,1,12,18,15,8,11,29
17,8,16,18,22,15,9,3,29
17,28,13,14,18,15,8,11,29
-1
19,23,4,7,3,29,1,16,9
19,4,23,28,17,3,29,1,9
19,8,15,1,3,4,2,24,9
-1
9,19,10,7,24,2,4,11,23
9,29,17,28,16,18,12,27,23
9,17,29,1,3,28,19,8,23
-1
1,29,9,3,17,23,4,2,19
1,11,23,28,17,9,29,8,19
1,3,16,15,8,9,29,17,19
-1
9,19,17,29,1,18,15,8,10
9,19,23,7,24,2,4,11,10
9,17,29,3,28,23,19,8,10
-1
24,4,11,23,19,8,18,16,15
24,3,17,28,23,11,10,2,15
24,10,23,19,28,17,29,9,15
-1
29,16,18,22,15,1,9,17,4
29,19,23,11,10,2,24,3,4
29,18,15,8,19,9,17,3,4
-1
4,3,1,29,2,24,10,11,19
4,11,23,28,17,9,29,8,19
4,28,17,9,29,8,15,18,19
-1
23,8,19,7,24,2,4,11,10
23,11,8,1,9,29,17,28,10
23,19,15,8,16,17,4,2,10
-1
18,15,8,19,4,2,9,1,16
18,15,19,28,17,9,29,1,16
18,22,12,14,15,8,9,1,16
-1
17,9,1,29,8,11,4,2,3
17,23,19,8,15,1,9,29,3
17,9,28,19,23,11,10,2,3
-1
13,11,23,28,17,9,29,8,19
13,1,16,15,8,9,29,17,19
13,29,1,8,16,3,17,28,19
-1
11,2,23,28,17,9,29,8,19
11,16,3,1,29,2,4,10,19
11,27,18,22,15,8,16,17,19
-1
1,29,9,3,17,4,2,24,7
1,29,8,19,23,4,2,9,7
1,28,9,29,17,4,2,24,7
-1
12,9,29,1,18,8,16,15,13
12,18,15,29,3,9,17,19,13
12,3,1,29,9,28,19,23,13
-1
12,15,19,11,10,7,20,16,18
12,8,3,28,17,9,29,1,18
12,29,3,16,15,14,9,1,18
-1
29,19,23,7,24,2,4,11,10
29,11,8,1,9,17,28,19,10
29,1,9,3,17,28,23,11,10
-1
15,8,1,29,9,3,4,2,17
15,16,29,1,9,2,4,23,17
15,18,9,29,3,4,2,24,17
-1
17,9,19,23,4,2,24,10,11
17,9,29,1,12,18,15,19,11
17,9,29,3,24,2,4,23,11
-1
16,1,29,9,3,17,19,23,10
16,9,7,24,2,4,11,3,10
16,15,8,9,29,17,4,2,10
-1
22,10,13,9,29,17,28,16,12
22,18,27,14,16,19,23,4,12
22,19,28,17,9,29,3,16,12
-1
8,1,3,12,14,22,18,16,15
8,19,28,17,29,9,1,12,15
8,23,10,11,2,9,29,1,15
-1
8,17,19,4,2,24,10,23,11
8,17,3,9,29,1,18,15,11
8,28,9,29,1,16,3,17,11
-1
11,10,23,19,8,1,29,17,4
11,10,2,9,29,1,8,19,4
11,8,2,24,9,29,17,23,4
-1
22,18,12,9,29,17,4,2,15
22,16,14,18,12,9,29,3,15
22,1,29,9,4,11,19,8,15
-1
9,29,3,16,18,19,8,15,20
9,17,29,1,18,8,16,15,20
9,4,11,23,8,16,18,12,20
-1
15,8,16,17,4,2,24,9,28
15,19,17,9,29,3,13,16,28
15,11,8,1,29,9,3,17,28
-1
15,19,28,17,9,1,12,18,29
15,10,23,19,18,16,8,9,29
15,10,23,19,28,17,9,3,29
-1
9,29,3,28,19,8,16,18,17
9,1,29,3,28,19,15,8,17
9,19,4,2,24,10,11,8,17
-1
4,11,10,2,24,9,1,29,3
4,11,8,1,29,9,17,28,3
4,23,28,17,9,29,8,19,3
-1
24,10,23,19,28,17,29,9,1
24,2,11,23,19,8,18,15,1
24,18,15,19,23,4,7,9,1
-1
23,18,15,19,28,17,9,29,1
23,10,11,4,2,24,9,29,1
23,19,3,17,29,9,7,13,1
-1
16,18,22,15,9,29,17,28,4
16,8,9,29,17,28,23,11,4
16,15,18,8,1,29,9,3,4
-1
19,8,16,18,15,28,17,9,29
19,16,18,15,28,17,9,3,29
19,4,23,28,3,9,17,1,29
-1
1,8,16,18,19,28,17,9,29
1,10,23,19,28,17,9,3,29
1,11,10,16,15,18,12,9,29
-1
9,29,2,4,11,19,15,18,8
9,17,29,1,18,16,15,19,8
9,10,23,19,28,17,29,3,8
-1
7,24,10,23,19,28,17,29,9
7,10,23,19,11,2,4,8,9
7,10,23,19,28,17,29,1,9
-1
19,28,17,3,1,29,9,4,2
19,10,11,23,4,24,9,1,2
19,8,15,1,9,29,17,4,2
-1
